id,name,title,company,event_role,session_topic,source_url
134,Mathangi Sri Ramachandran,Head of YuVerse,Yubi Group,Panel Discussion,Making AI real: Where creativity meets intelligence and scale,https://techsparks.yourstory.com/blr-25-agenda-items/making-ai-real-where-creativity-meets-intelligence-and-scale
135,Mayank Vishwakarma,Director - Customer Success and Presales,primeNumber,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/mayank-vishwakarma
136,Mayur Shah,Executive Director,Suzuki R&D Center India,Panel Discussion,The global career code: Why Japan is betting on Indian minds,https://techsparks.yourstory.com/blr-25-agenda-items/the-global-career-code-why-japan-is-betting-on-indian-minds
137,Meghna Agarwal,Co-founder,IndiQube,Fireside Chat,Bootstrapping to bell-ringing: IndiQube’s journey beyond listing,https://techsparks.yourstory.com/blr-25-agenda-items/bootstrapping-to-bell-ringing-indiqubes-journey-beyond-listing
138,Mohamed Imran K R,Co-founder & CTO,E2E Networks Limited,Keynote Address,Breaking the bottlenecks: Inside India’s AI infrastructure struggle,https://techsparks.yourstory.com/blr-25-agenda-items/breaking-the-bottlenecks-inside-indias-ai-infrastructure-struggle
139,Mohit Khurana,Co-founder & CEO,Uni Seoul,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/mohit-khurana
140,Moiz Arsiwala,Co-founder & CTO,WorkIndia,Panel Discussion,Building India's AI-powered digital infra: From payments to data at scale,https://techsparks.yourstory.com/blr-25-agenda-items/building-indias-ai-powered-digital-infra-from-payments-to-data-at-scale
141,Mukesh Bansal,Founder & CEO,Nurix AI,Fireside Chat,Tech-SparkX: Why now is the time for India to create global impact in AI and deeptech,https://techsparks.yourstory.com/blr-25-agenda-items/tech-sparkx-why-now-is-the-time-for-india-to-create-global-impact-in-ai-and-deeptech
142,Mukul Arora,Co-Managing Partner,Elevation Capital,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/mukul-arora
143,Muralidhar Somisetty,Founder,YogiFi,Panel Discussion,Tokyo calling: A new launchpad for India’s startups,https://techsparks.yourstory.com/blr-25-agenda-items/tokyo-calling-a-new-launchpad-for-indias-startups
144,Nakul Kundra,Co-founder,Devnagri AI,Panel Discussion,Aatmanirbhar AI: Building an independent intelligence economy,https://techsparks.yourstory.com/blr-25-agenda-items/aatmanirbhar-ai-building-an-independent-intelligence-economy
145,Nandita Sinha,CEO,Myntra,Fireside Chat,CEO's guide to building the world's most intelligent fashion platform,https://techsparks.yourstory.com/blr-25-agenda-items/ceos-guide-to-building-the-worlds-most-intelligent-fashion-platform
146,Naoto Nakadate,Senior Director,"Japan-India Startup Hub, JETRO",Panel Discussion,Tokyo calling: A new launchpad for India’s startups,https://techsparks.yourstory.com/blr-25-agenda-items/tokyo-calling-a-new-launchpad-for-indias-startups
147,Narendra Yadav,CBO,"Sr.Vice President, Paytm",Fireside Chat,The speed layer: Real-time AI powering India’s fintech future,https://techsparks.yourstory.com/blr-25-agenda-items/the-speed-layer-real-time-ai-powering-indias-fintech-future
148,Naveen Tewari,Founder & CEO,InMobi Group,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/naveen-tewari
149,Nidhi Gupta,Head of Product - Payments,PhonePe,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/nidhi-gupta
150,Nikhil Mittal,CTO,Zepto,Fireside Chat,Inside Zepto & the algorithm powering instant fulfilment,https://techsparks.yourstory.com/blr-25-agenda-items/beyond-blitzscaling-zepto-and-the-economics-of-10-minute-commerce
151,Nithin Kamath,Founder & CEO,Zerodha & Rainmatter,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/nithin-kamath
152,Nupur Goenka,Executive Director,Tally Solutions,Panel Discussion,Crafting the tech adoption journey for MSMEs: The Tally playbook,https://techsparks.yourstory.com/blr-25-agenda-items/crafting-the-tech-adoption-journey-for-msmes-the-tally-playbook
153,Pankaj Mitra,Partner,Bessemer Venture Partners,Panel Discussion,AI in enterprise: hype v/s reality,https://techsparks.yourstory.com/blr-25-agenda-items/ai-in-enterprise-hype-v-s-reality
154,Paranth Thiruvengadam,Head of Engineering & India Site Leader,Atlassian,Fireside Chat,Building innovation: Atlassian’s playbook for the future,https://techsparks.yourstory.com/blr-25-agenda-items/building-innovation-atlassians-playbook-for-the-future
155,Patanjali Somayaji,CTO,AXIO,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/patanjali-somayaji
156,Pavan Sondur,Co-founder & CEO,CoreWorks AI,Panel Discussion,The AI founder DNA: What it takes to build in the AI era,https://techsparks.yourstory.com/blr-25-agenda-items/the-ai-founder-dna-what-it-takes-to-build-in-the-ai-era
157,Payal Ganguly,Managing Editor,YourStory,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/payal-ganguly
158,Phani Kishan Addepalli,Co-founder & CGO,Swiggy,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/phani-kishan-addepalli
159,Pooja Gulrajani,Head of Engineering,PhonePe,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/pooja-gulrajani
160,Poorvi Vijay,Vice President,Elevation Capital,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/poorvi-vijay
161,Prabhu Rangarajan,Co-founder,M2P Fintech,Panel Discussion,India’s deeptech decade: From jugaad to AI-first innovation,https://techsparks.yourstory.com/blr-25-agenda-items/indias-deeptech-decade-from-jugaad-to-ai-first-innovation
162,Prashant Sachan,Founder & CEO,AppsForBharat,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/prashant-sachan
163,Prasid Banerjee,Senior Account Director,"Thought Leadership Advisory, Adfactors PR",Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/prasid-banerjee
164,Pratik Desai,Founder & CEO,Kissan AI,Panel Discussion,Soil to satellite: Future of smart farming for India,https://techsparks.yourstory.com/blr-25-agenda-items/soil-to-satellite-future-of-smart-farming-for-india
165,Pratyush Kumar Panda,Sectoral expert ESG (CSR and Sustainability),Founder Basudev Panda Foundation,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/pratyush-kumar-panda
166,Praveen Sridhar,Director Partnerships,AWS,Fireside Chat,Intelligence at scale: Building growth for a connected India,https://techsparks.yourstory.com/blr-25-agenda-items/intelligence-at-scale-building-growth-for-a-connected-india
167,Priya Narasimhan,CBO,Indus Appstore,Panel Discussion,"AI, Access, Ambition: How India Builds the Future of Global Apps",https://techsparks.yourstory.com/blr-25-agenda-items/ai-access-ambition-how-india-builds-the-future-of-global-apps
168,Priyadarshi Mohapatra,Founder & CEO,CureBay,Panel Discussion,Intelligent health: Building the future of care with AI,https://techsparks.yourstory.com/blr-25-agenda-items/intelligent-health-building-the-future-of-care-with-ai
169,Puneet Chandok,President,Microsoft India & South Asia,Keynote Address,Future of Work and Leading in the Age of AI,https://techsparks.yourstory.com/blr-25-agenda-items/future-of-work-and-leading-in-the-age-of-ai
170,Puspen Maity,CEO,Technosport,Fireside Chat,Performance for all: Democratizing activewear in India,https://techsparks.yourstory.com/blr-25-agenda-items/performance-for-all-democratizing-activewear-in-india
171,Raghav Chandra,Co-founder & CPTO,Urban Company,Panel Discussion,AI in enterprise: hype v/s reality,https://techsparks.yourstory.com/blr-25-agenda-items/ai-in-enterprise-hype-v-s-reality
172,Raghav Gupta,Founder & CEO,Futurense Technologies,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/raghav-gupta
173,Raghuveer Subodha,AI Engineering Leader,EY GDS,Panel Discussion,GenAI engineering for the enterprise: From hype to high-impact systems,https://techsparks.yourstory.com/blr-25-agenda-items/efficiency-to-intelligence-reimagining-gccs-for-the-ai-age
174,Rahul Chandra,Managing Director,Arkam Ventures,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/rahul-chandra
175,Rahul Chari,Founder & CTO,PhonePe,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/rahul-chari
176,Rahul Regulapati,Founder,Galleri5 (acquired by Collective Artists),Panel Discussion,Making AI real: Where creativity meets intelligence and scale,https://techsparks.yourstory.com/blr-25-agenda-items/making-ai-real-where-creativity-meets-intelligence-and-scale
177,Raj Mohan,Founder Director,Sustainable Green Initiative,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakers-a/raj-mohan
178,Rajan Anandan,Managing Director,Peak XV & Surge,Fireside Chat,"Building for the AI age: Scaling India’s next 1,000 startups",https://techsparks.yourstory.com/blr-25-agenda-items/building-for-the-ai-age-scaling-indias-next-1-000-startups
179,Rajat Pandit,Head of Customer Engineering - Digital Natives,Google Cloud,Speaker,TechSparks 2024 Speaker Program,https://techsparks.yourstory.com/speakersb/rajat-pandit
180,Rajendran Dandapani,Director of Technology,Zoho Corp.,Panel Discussion,"AI, Access, Ambition: How India Builds the Future of Global Apps",https://techsparks.yourstory.com/blr-25-agenda-items/ai-access-ambition-how-india-builds-the-future-of-global-apps
